,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,eu_dis_untrs,eu_dis_nfe,main_r_dist,secondary_r_dist
50,26876266,1,30.48,9.0,155.13888888888889,911.0,27707534,1,POINT (153664.0494321955 7530881.446167178),POINT (151650.7712599388 7531499.6391658),2106.051182291136,17884.198410950587,15675.881055683112,1117.369189925525
51,26876267,1,129.76,41.0,115.02777777777779,524.0,27707534,1,POINT (153973.3093826919 7533478.312422415),POINT (151650.7712599388 7531499.6391658),3051.119661384252,18369.03126091539,14554.2376365859,2053.719017926411
52,26876268,1,6.54,2.0,105.83333333333333,126.0,27707534,1,POINT (153707.5218340001 7531072.432303179),POINT (151650.7712599388 7531499.6391658),2100.6495727207157,17928.02272997636,15597.970302435062,1016.4113506919975
53,26876269,1,26.16,8.0,90.04166666666666,722.0,27707534,1,POINT (153626.4694762145 7530567.526894496),POINT (151650.7712599388 7531499.6391658),2184.540392876905,17850.477364615115,15835.211177396506,1347.5957964242107
54,26876270,2,85.05,28.0,136.4722222222222,1070.0,27707534,1,POINT (153934.3243132487 7533804.205695931),POINT (151650.7712599388 7531499.6391658),3244.3244965755,18378.313489136064,14371.15884185951,2322.187410080776
55,26876271,1,282.64,87.0,117.8888888888889,1151.0,27707534,1,POINT (153822.9657583218 7534011.066774288),POINT (151650.7712599388 7531499.6391658),3320.4965850730305,18301.84940117264,14179.748552841244,2467.0114309955557
56,26876273,1,608.4599999999999,188.0,104.5625,1624.0,27707534,1,POINT (153497.1169080484 7533844.912394986),POINT (151650.7712599388 7531499.6391658),2984.8448488709823,17953.095495238944,13962.741277664309,2206.495976583716
57,26876274,1,76.74,18.0,113.22222222222223,922.0,27707534,1,POINT (154099.7211307905 7531180.226879714),POINT (151650.7712599388 7531499.6391658),2469.6922234252165,18321.285646394266,15855.460390077751,1295.2129152065936
58,26876275,1,121.04,37.0,101.97222222222223,427.0,27707534,1,POINT (153632.7442725108 7534211.791358711),POINT (151650.7712599388 7531499.6391658),3359.164559838699,18149.41186179883,13921.135155641055,2596.310483231173
59,26876276,2,32.36,11.0,229.33333333333334,262.0,27707534,1,POINT (153441.6832274387 7533541.961215584),POINT (151650.7712599388 7531499.6391658),2716.329330248108,17851.79244124845,14054.971885185141,1899.7642008742132
60,26876277,2,107.54,24.0,225.75,535.0,27707534,1,POINT (153801.7089287725 7534471.776523102),POINT (151650.7712599388 7531499.6391658),3668.805435816672,18363.809199875468,13964.591364928023,2894.1211247315423
61,26876278,1,106.15,36.0,76.97916666666667,513.0,27707534,1,POINT (153540.4894304392 7534517.546069385),POINT (151650.7712599388 7531499.6391658),3560.729818819136,18116.497863134995,13707.876678931792,2870.1987974149015
62,26876279,2,32.36,11.0,156.16666666666666,170.0,27707534,1,POINT (152867.4011774721 7533442.655726207),POINT (151650.7712599388 7531499.6391658),2292.4881047137847,17269.178501696395,13601.782032415364,1728.27390013175
63,26876281,1,18.92,7.0,28.166666666666668,77.0,27707534,1,POINT (152580.1468129812 7533046.081857259),POINT (151650.7712599388 7531499.6391658),1804.2239097630884,16931.199886592025,13559.31127140274,1373.6381400046537
64,26876283,1,405.92,90.0,90.70833333333333,662.0,27707534,1,POINT (154556.1199895156 7534587.86011295),POINT (151650.7712599388 7531499.6391658),4240.066020579212,19126.494059692835,14610.09564939102,3305.852046589451
65,26876284,2,129.44,44.0,21.375,329.0,27707534,1,POINT (152378.5429663147 7533040.712603413),POINT (151650.7712599388 7531499.6391658),1704.2766784522028,16730.500992390138,13391.59423569379,1422.3322139266108
66,26876286,1,6.54,2.0,87.0,99.0,27707534,1,POINT (155115.0388120725 7530939.965491146),POINT (151650.7712599388 7531499.6391658),3509.1857025337695,19335.079208331066,16830.742123954966,2327.770757512601
67,26876287,1,218.4,47.0,203.66666666666669,701.0,27707534,1,POINT (154515.288635313 7535010.807769652),POINT (151650.7712599388 7531499.6391658),4531.419728792804,19171.657219884324,14414.065312703646,3661.3648436676826
68,26876288,1,91.71,21.0,73.0,103.0,27707534,1,POINT (154353.2932236064 7534306.155519538),POINT (151650.7712599388 7531499.6391658),3896.17235346463,18875.211355224747,14535.619267620403,2960.9163080401713
69,26876290,1,6.71,3.0,67.33333333333333,95.0,27707534,1,POINT (155048.0546762157 7530419.809087599),POINT (151650.7712599388 7531499.6391658),3564.7675391669113,19275.220433832572,17068.346858297064,2491.183095321258
70,26876292,1,215.81,48.0,129.875,495.0,27707534,1,POINT (155192.0644176615 7534383.815938701),POINT (151650.7712599388 7531499.6391658),4567.190918526869,19714.53669718264,15275.628522564593,3504.7379328622255
71,26876293,1,69.7,15.0,151.75,168.0,27707534,1,POINT (154805.8414634314 7534465.172314093),POINT (151650.7712599388 7531499.6391658),4329.994785515758,19348.996486170494,14887.828368624849,3334.40578647387
72,26876294,1,199.11,44.0,95.04166666666667,358.0,27707534,1,POINT (154734.4280525308 7535544.212889872),POINT (151650.7712599388 7531499.6391658),5086.011779769653,19504.74100961237,14435.141076143058,4237.104478628284
73,26876295,2,168.69,52.0,159.47222222222226,558.0,27707534,1,POINT (153041.602272151 7535909.653823694),POINT (151650.7712599388 7531499.6391658),4624.136696441004,17961.71494038912,12717.629511887539,4196.22496888621
74,26876296,1,69.7,15.0,56.25,135.0,27707534,1,POINT (155086.7113721956 7535424.353013158),POINT (151650.7712599388 7531499.6391658),5216.230750135306,19819.820558456497,14807.251330065565,4295.56896942793
75,26876297,1,92.79,21.0,48.333333333333336,128.0,27707534,1,POINT (155275.9353110286 7533986.614913255),POINT (151650.7712599388 7531499.6391658),4396.232792487473,19731.986445377894,15508.643930014905,3272.4794897252727
76,26876299,2,56.37,18.0,252.16666666666666,348.0,27707534,1,POINT (153340.005678987 7535607.073810272),POINT (151650.7712599388 7531499.6391658),4441.230942104303,18168.670307985394,13102.907936104879,3914.468629486914
77,26876300,1,50.61,16.0,20.916666666666668,86.0,27707534,1,POINT (152060.4281457516 7535552.260617558),POINT (151650.7712599388 7531499.6391658),4073.2737933192875,16920.13046525106,11935.780919632643,3932.206986295296
78,26876301,1,162.8,39.0,104.66666666666666,335.0,27707534,1,POINT (151740.9434111473 7535856.012426543),POINT (151650.7712599388 7531499.6391658),4357.306393148183,16699.76156796305,11523.905082447616,4305.456762679029
79,26876302,1,32.36,11.0,37.083333333333336,44.0,27707534,1,POINT (152238.8526037046 7536622.056528974),POINT (151650.7712599388 7531499.6391658),5156.06432363236,17410.825208314418,11726.008761956551,4953.941059371302
80,26876303,1,356.02,73.0,39.77777777777778,196.0,27707534,1,POINT (155138.3332232861 7533043.177333859),POINT (151650.7712599388 7531499.6391658),3813.8692327399804,19471.86850684821,15788.985021997018,2585.3253291032347
