,COD_ID,geometry,CTMT,UNI_TR_D,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM,NODE,ENDNODE,g_degree,g_avg_ndeg,g_pagerank,dist_to_trs,COMP,R,X,impedancia,angulo_impedancia,GRU_TAR_2,GRU_TAR_3,DIC_above,FIC_above
1336,26878738,POINT (-42.48323159136481 -22.3220711008006),27117496,26878738,17.28,13.0,0.2994891008174386,0.017743135795699347,27707861,0,POINT (-42.48323159136481 -22.3220711008006),POINT (-42.51373596024632 -22.2851217692542),0.25482093663911853,0.35843555198069577,27162532,27707915,0.0,0.14285714285714285,0.1015474536353102,0.3478290432607371,0.33681583721903957,0.22682665503922003,0.31793169719291914,0.255411859216306,0.7171482804425322,0,0,0,1
1337,26878739,POINT (-42.46607646215898 -22.33225801389619),27117496,26878739,27.20590909090909,13.045454545454545,0.3353851870200643,0.057048294230543264,27707861,0,POINT (-42.46607646215898 -22.33225801389619),POINT (-42.51373596024632 -22.2851217692542),0.2303719008264463,0.37422079227830285,27150839,27707915,0.0,0.14285714285714285,0.10150762790574513,0.3501785012146022,0.3390884300435518,0.16398531583451717,0.3125158770266352,0.2158064866848431,0.8697944706968596,0,0,1,1
1338,26878740,POINT (-42.4602538986984 -22.3301265271175),27117496,26878740,22.81,11.0,0.4147138964577657,0.0029376052641886335,27707861,0,POINT (-42.4602538986984 -22.3301265271175),POINT (-42.51373596024632 -22.2851217692542),0.2293388429752066,0.38216368389302235,27152570,27707915,0.3333333333333333,0.14285714285714285,0.37752255924670586,0.3571729282198895,0.3458540265921689,0.16801153556196827,0.32045722075987704,0.2212137299393976,0.8701844561095667,0,0,1,1
1339,26878741,POINT (-42.44469116306669 -22.34864146003531),27117496,26878741,99.71,31.5,0.5283378746594005,0.008205710704633582,27707861,0,POINT (-42.44469116306669 -22.34864146003531),POINT (-42.51373596024632 -22.2851217692542),0.3595041322314049,0.4250452443193244,27149709,27707915,0.0,0.14285714285714285,0.1015474536353102,0.4079605498267582,0.394980074686767,0.326384782201384,0.38614372769586697,0.3439969984002502,0.6344351257528524,0,0,1,1
1340,26878742,POINT (-42.44874057821505 -22.33411643862269),27117496,26878742,22.81,11.0,0.27391627446123357,0.032920762994007285,27707861,0,POINT (-42.44874057821505 -22.33411643862269),POINT (-42.51373596024632 -22.2851217692542),0.24001377410468316,0.41152221998793487,27146142,27707915,0.0,0.14285714285714285,0.10100835933060903,0.3958434920354024,0.4663705233815677,0.4307322505421287,0.4558946705972519,0.43781697843052825,0.5821371360158893,0,0,1,1
1341,26877193,POINT (-42.40262987097174 -22.41088793203238),27117484,26877193,16.17,9.0,0.3952316076294278,0.005307273510634131,27707534,0,POINT (-42.40262987097174 -22.41088793203238),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27161269,27707553,0.0,0.14285714285714285,0.08044590424437315,0.7963547595175399,0.7703011280829468,0.6497603725810264,0.754062404105508,0.6803584653429825,0.6247383360219751,0,0,0,1
1342,26877194,POINT (-42.50974354143125 -22.42417290795328),27117484,26877194,92.82,20.0,0.5239782016348774,0.0044847440366613135,27707534,0,POINT (-42.50974354143125 -22.42417290795328),POINT (-42.38023628887362 -22.28705286010137),0.9777892561983472,0.9818017293384276,27161888,27707553,0.3333333333333333,0.14285714285714285,0.3832727788995891,0.922102186724093,0.8919345883882754,0.8701480492638191,0.8841330124566537,0.87404696316233,0.5630942469021212,0,0,1,1
1343,26877195,POINT (-42.51800595930752 -22.40959253147008),27117484,26877195,62.3,21.0,0.41307901907356953,0.0032901178958912695,27707534,0,POINT (-42.51800595930752 -22.40959253147008),POINT (-42.38023628887362 -22.28705286010137),0.9223484848484848,0.9369847174743616,27159688,27707553,0.3333333333333333,0.28571428571428564,0.3305444206235906,0.9362249596883234,0.9383114310443974,0.9091154541944079,0.9367517882380656,0.9168792542102797,0.569402308545486,0,0,1,1
1344,26877196,POINT (-42.40309713622383 -22.41758165167187),27117484,26877196,46.87,15.0,0.17438692098092637,0.005757706317809722,27707534,0,POINT (-42.40309713622383 -22.41758165167187),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27162171,27707553,0.3333333333333333,0.14285714285714285,0.3791002154833337,0.8113413808468893,0.7847974454316919,0.6658319228239993,0.768230760235915,0.695808993601781,0.6219719303013562,0,0,1,1
1345,26877197,POINT (-42.51923277037599 -22.40976187471068),27117484,26877197,62.3,21.0,0.34795640326975474,0.0025655085973914065,27707534,0,POINT (-42.51923277037599 -22.40976187471068),POINT (-42.38023628887362 -22.28705286010137),0.9271694214876033,0.9408304846169315,27159692,27707553,0.3333333333333333,0.14285714285714285,0.3738638106081097,0.9396160261388234,0.9415915549853993,0.9139479957756297,0.9401148419956459,0.9212943840069248,0.5686212799892946,0,0,1,1
