,UNI_TR_D,TIEMPO_MIN,DISTANCIA_KM
392,26877509,11.233333333333333,7.642
393,26877510,10.383333333333333,8.066
394,26877511,11.05,8.78
395,26877512,8.483333333333333,5.921
396,26877513,9.0,6.537
397,26877514,7.333333333333333,4.561
398,26877515,11.716666666666667,9.266
399,26877516,50.1,24.263
400,26877517,10.816666666666666,8.523
401,26877518,11.583333333333334,9.187
402,26877519,11.716666666666667,9.268
403,26877520,0.0,0.0
404,26877521,12.433333333333334,9.703
405,26877522,12.866666666666667,9.972
406,26877523,14.516666666666667,10.56
407,26877524,0.0,0.0
408,26877525,13.966666666666667,10.342
409,26877526,14.883333333333333,10.686
410,26877527,14.583333333333334,10.583
411,26877528,48.88333333333333,23.852
412,26877529,0.0,0.0
413,26877530,0.0,0.0
414,26877531,50.266666666666666,24.315
415,26877533,50.266666666666666,24.315
416,26877534,50.266666666666666,24.315
417,26877535,2.2666666666666666,0.675
418,26877536,2.2333333333333334,0.667
419,26877537,0.0,0.0
420,26877538,1.9666666666666666,0.451
421,26877539,1.8833333333333333,0.471
422,26877540,3.9,1.296
423,26877541,0.0,0.0
424,26876909,39.233333333333334,16.801
425,26876910,0.0,0.0
426,26876911,0.0,0.0
427,26876912,0.0,0.0
428,26876913,47.53333333333333,18.793
429,26876914,0.0,0.0
430,26876915,0.0,0.0
431,26876916,0.0,0.0
432,26876917,0.0,0.0
433,26876918,0.0,0.0
434,26876919,0.0,0.0
435,26876920,39.166666666666664,19.145
436,26876921,0.0,0.0
437,26876922,0.0,0.0
438,26876923,63.083333333333336,28.077
439,26876924,52.233333333333334,23.613
440,26876925,0.0,0.0
441,26876926,51.88333333333333,23.494
442,26876927,51.88333333333333,23.494
443,26876928,40.333333333333336,19.842
444,26876929,40.916666666666664,19.838
445,26876930,0.0,0.0
446,26876931,0.0,0.0
447,26876932,0.0,0.0
448,26879850,0.0,0.0
449,26879851,9.5,5.629
450,26879852,11.633333333333333,6.33
451,26879853,10.783333333333333,6.2
452,26879854,11.266666666666667,6.169
453,26879855,11.3,6.455
454,26879856,0.0,0.0
455,26879857,11.466666666666667,6.252
456,26879858,14.6,6.853
457,26879859,12.1,6.424
458,26879860,12.95,7.032
459,26879861,13.766666666666667,7.001
460,26879862,12.966666666666667,7.066
