,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,EUC_DIST_UNTRS,EUC_DIST_CENT,EUC_DIST_PRIMARY,EUC_DIST_SECONDARY
89,26876312,2,53.29,14.0,15.5,36.0,27707534,1,POINT (151580.6430646059 7534800.123769538),POINT (151650.7712599388 7531499.6391658),3301.229556285803,15986.184802160295,11821.301435445459,3294.65219824713
90,26876313,1,8.52,4.0,135.41666666666669,324.0,27707534,0,POINT (154994.4397639579 7529306.188270884),POINT (151650.7712599388 7531499.6391658),3998.918090331305,19020.21772467322,16969.33215959943,3178.9877925152377
91,26876314,1,4.26,2.0,167.58333333333334,181.0,27707534,0,POINT (155258.6097196905 7529084.392953825),POINT (151650.7712599388 7531499.6391658),4341.6486057858265,19304.188079939006,17159.019842339454,3519.8697430042607
92,26876315,1,4.26,2.0,71.08333333333333,168.0,27707534,0,POINT (155716.2479686692 7529132.719916626),POINT (151650.7712599388 7531499.6391658),4704.2967169748745,19754.95181554546,17612.241093690474,3806.2204795324487
93,26876316,1,32.73,9.0,63.833333333333336,92.0,27707534,0,POINT (155919.8182772617 7529049.702580125),POINT (151650.7712599388 7531499.6391658),4922.088145283717,19965.58604457252,17785.852156209643,4012.833447147958
94,26876317,1,520.1,128.0,62.547619047619044,845.0,27707534,0,POINT (156151.9581979263 7528935.9408182),POINT (151650.7712599388 7531499.6391658),5180.080411364024,20207.970301837155,17980.145818534318,4011.2659695042707
95,26876318,1,38.479999999999976,74.0,115.54504504504506,6241.0,27707534,1,POINT (156115.0362868779 7528572.832811825),POINT (151650.7712599388 7531499.6391658),5338.151146644363,20211.783082827078,17854.402866380813,3674.5223922216624
96,26876319,1,2942.380000000001,829.0,99.46780303030305,12408.0,27707534,1,POINT (155924.3107703017 7528484.131600531),POINT (151650.7712599388 7531499.6391658),5230.337065890574,20033.445424804548,17648.07308784076,3654.3570485741093
97,26876320,1,75.99000000000004,143.0,90.09859154929576,8906.0,27707534,1,POINT (156138.4223093341 7528312.418314887),POINT (151650.7712599388 7531499.6391658),5504.306377158896,20267.995943951366,17816.882018725846,3419.911966451525
98,26876321,1,93.3,30.0,135.15,836.0,27707534,1,POINT (155789.8647873417 7528692.061611442),POINT (151650.7712599388 7531499.6391658),5001.458482515268,19874.770286564195,17568.113602410835,3897.0577338316084
