,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM
123,26876349,1,20.81,8.0,1.5833333333333333,18.0,27707534,0,POINT (-42.32297815481797 -22.31954785135224),POINT (-42.38023628887362 -22.28705286010137),61.2,29.215999999999998
124,26876350,1,16.371111111111112,6.555555555555555,49.24074074074073,1189.0,27707534,0,POINT (-42.32166622561579 -22.32016709843282),POINT (-42.38023628887362 -22.28705286010137),60.36666666666667,28.789
125,26876351,1,3.2700000000000005,3.0,124.56666666666668,928.0,27707534,0,POINT (-42.32953287793993 -22.32842140712222),POINT (-42.38023628887362 -22.28705286010137),53.43333333333333,26.648000000000003
126,26876352,1,42.05999999999999,11.0,89.64705882352939,2242.0,27707534,1,POINT (-42.3385205954491 -22.32469664993039),POINT (-42.38023628887362 -22.28705286010137),57.1,27.758000000000003
127,26876353,1,36.61144736842106,9.197368421052632,87.10197368421052,9794.0,27707534,1,POINT (-42.34011933463955 -22.32327854946544),POINT (-42.38023628887362 -22.28705286010137),58.33333333333334,27.975
128,26876354,1,28.349047619047628,6.0476190476190474,95.01190476190476,2988.0,27707534,0,POINT (-42.32816681224853 -22.32882315766255),POINT (-42.38023628887362 -22.28705286010137),53.88333333333333,26.725
129,26876355,1,42.14,11.3,71.0,1104.0,27707534,1,POINT (-42.33966019566145 -22.32497715746979),POINT (-42.38023628887362 -22.28705286010137),58.33333333333334,28.048000000000002
130,26876356,1,20.81,8.0,0.08333333333333333,1.0,27707534,0,POINT (-42.32233174551362 -22.31614973332347),POINT (-42.38023628887362 -22.28705286010137),60.68333333333333,29.166
131,26876357,1,26.54,11.0,85.83333333333333,576.0,27707534,0,POINT (-42.31999739506369 -22.31966106610525),POINT (-42.38023628887362 -22.28705286010137),59.71666666666667,28.570999999999998
132,26876358,1,22.48,9.0,44.583333333333336,95.0,27707534,0,POINT (-42.3220181743992 -22.31512312932892),POINT (-42.38023628887362 -22.28705286010137),60.9,29.239
133,26876359,1,17.945,5.25,64.52083333333334,380.0,27707534,1,POINT (-42.34212141437172 -22.32105459349464),POINT (-42.38023628887362 -22.28705286010137),59.63333333333333,28.318
134,26876360,1,36.44,9.0,10.0,18.0,27707534,0,POINT (-42.345012643019 -22.32839439958184),POINT (-42.38023628887362 -22.28705286010137),56.96666666666667,26.026999999999997
135,26876361,1,32.33,9.0,180.25,276.0,27707534,1,POINT (-42.34335910363967 -22.32025341176552),POINT (-42.38023628887362 -22.28705286010137),60.18333333333333,28.476
136,26876362,1,36.44,9.0,14.583333333333334,30.0,27707534,0,POINT (-42.34802519560623 -22.32918154739048),POINT (-42.38023628887362 -22.28705286010137),57.48333333333333,26.195999999999998
137,26876363,1,7.7250000000000005,4.166666666666667,74.93055555555556,618.0,27707534,1,POINT (-42.32478560237359 -22.33567311921905),POINT (-42.38023628887362 -22.28705286010137),51.0,25.363000000000003
138,26876364,1,30.90749999999999,11.214285714285714,96.99999999999999,4024.0,27707534,1,POINT (-42.32991641181292 -22.33579390626375),POINT (-42.38023628887362 -22.28705286010137),52.15,24.758000000000003
139,26876365,1,40.14510204081634,10.224489795918368,87.65306122448979,6254.0,27707534,0,POINT (-42.34713532003894 -22.31912368161255),POINT (-42.38023628887362 -22.28705286010137),62.06666666666667,28.96
140,26876366,1,7.04,3.0,56.333333333333336,88.0,27707534,1,POINT (-42.32314259675337 -22.33736112511576),POINT (-42.38023628887362 -22.28705286010137),50.48333333333333,25.1
141,26876368,1,45.26461538461538,13.307692307692308,92.88461538461537,3837.0,27707534,0,POINT (-42.33267483127838 -22.33820448684753),POINT (-42.38023628887362 -22.28705286010137),50.8,24.331
142,26876369,1,35.041875000000005,8.8125,73.75520833333333,1769.0,27707534,0,POINT (-42.34828623282334 -22.31726484499654),POINT (-42.38023628887362 -22.28705286010137),63.13333333333333,29.271
143,26876370,1,26.086060606060602,10.090909090909092,83.85606060606061,4100.0,27707534,0,POINT (-42.33491832591994 -22.33759146847143),POINT (-42.38023628887362 -22.28705286010137),52.06666666666667,24.594
144,26876372,1,2.015999999999999,3.0,110.06666666666666,2562.0,27707534,1,POINT (-42.32023037343293 -22.34198900578792),POINT (-42.38023628887362 -22.28705286010137),49.15,24.433000000000003
145,26876373,1,40.9041935483871,10.161290322580646,94.38978494623655,4599.0,27707534,0,POINT (-42.35274803209597 -22.31990155111566),POINT (-42.38023628887362 -22.28705286010137),65.13333333333334,29.587
